District,Outstanding,Good,Special Measures,Requires improvement,Serious Weaknesses,Inadequate
Barking and Dagenham,7,55,,6,,
Barnet,50,89,,11,,7
Barnsley,20,59,4,20,,
Bath and North East Somerset,17,63,1,8,1,
Bedford,14,52,1,16,1,
Bexley,14,64,2,11,,
Birmingham,108,310,25,65,12,8
Blackburn with Darwen,14,58,,12,1,1
Blackpool,7,34,2,4,,
Bolton,35,97,3,20,,1
"Bournemouth, Christchurch and Poole",18,63,1,7,1,
Bracknell Forest,7,25,2,7,,
Bradford,38,160,13,48,5,
Brent,26,65,1,5,,1
Brighton and Hove,12,61,,6,1,1
"Bristol, City of",34,92,11,24,1,3
Bromley,32,82,,10,2,1
Buckinghamshire,58,168,11,16,,
Bury,12,59,7,12,,
Calderdale,20,71,5,13,2,1
Cambridgeshire,36,201,9,44,7,1
Camden,24,51,,3,,
Central Bedfordshire,32,85,7,10,,
Cheshire East,37,120,5,15,2,
Cheshire West and Chester,38,115,4,13,,
City of London,1,,,,,
Cornwall,40,238,4,45,5,
County Durham,54,188,4,35,3,
Coventry,13,99,3,14,1,
Croydon,31,89,5,13,2,1
Cumbria,40,266,6,28,3,
Darlington,11,31,2,10,,
Derby,17,63,11,16,2,
Derbyshire,49,308,18,69,8,1
Devon,56,295,12,52,3,1
Doncaster,16,80,11,36,5,1
Dorset,17,95,8,23,1,1
Dudley,12,88,8,18,,
Ealing,27,71,3,6,,2
East Riding of Yorkshire,18,116,5,18,2,1
East Sussex,29,165,6,15,4,1
Enfield,23,72,2,13,1,
Essex,94,429,14,58,11,1
Gateshead,28,50,1,10,2,2
Gloucestershire,58,210,17,30,2,2
Greenwich,22,73,,7,2,
Hackney,30,54,3,10,,12
Halton,14,44,3,7,2,
Hammersmith and Fulham,30,39,1,5,,
Hampshire,127,395,3,32,5,1
Haringey,24,68,,4,1,3
Harrow,28,32,2,4,,
Hartlepool,6,31,1,4,,
Havering,13,74,3,8,1,
"Herefordshire, County of",23,77,4,4,,
Hertfordshire,133,352,8,55,7,3
Hillingdon,23,70,1,14,1,
Hounslow,24,55,,3,,
Isle of Wight,,39,1,12,1,
Isles Of Scilly,,,1,,,
Islington,22,44,2,5,1,
Kensington and Chelsea,32,22,,1,,1
Kent,122,461,11,59,3,3
"Kingston upon Hull, City of",20,70,,17,2,
Kingston upon Thames,21,34,,6,,
Kirklees,31,136,9,20,4,3
Knowsley,7,49,3,9,,
Lambeth,38,51,1,5,,1
Lancashire,151,466,14,50,5,
Leeds,48,199,10,35,7,2
Leicester,20,86,5,17,3,4
Leicestershire,52,231,2,29,6,3
Lewisham,22,60,,9,,
Lincolnshire,62,264,17,44,6,
Liverpool,44,109,7,23,1,
Luton,11,50,,18,,2
Manchester,45,135,6,15,2,
Medway,15,88,5,8,2,2
Merton,17,45,2,3,,
Middlesbrough,9,53,1,9,,
Milton Keynes,28,76,8,7,,1
Newcastle upon Tyne,26,76,5,8,1,
Newham,36,67,2,8,1,4
Norfolk,57,341,13,67,8,3
North East Lincolnshire,12,50,,10,,1
North Lincolnshire,11,66,1,6,1,
North Somerset,15,61,1,12,2,
North Tyneside,17,57,2,6,,
North Yorkshire,57,266,17,45,8,
Northamptonshire,51,224,13,58,3,1
Northumberland,25,118,7,18,3,
Nottingham,18,81,4,14,2,1
Nottinghamshire,53,265,9,41,6,1
Oldham,21,75,5,18,1,
Oxfordshire,44,245,12,23,3,1
Peterborough,6,60,2,13,3,
Plymouth,13,80,4,23,2,
Portsmouth,7,59,,7,2,
Pre-LGR 2019 Bournemouth,2,2,,1,,
Pre-LGR 2019 Dorset,14,14,5,6,,
Pre-LGR 2019 Poole,5,13,,1,,
Reading,16,36,4,7,,
Redbridge,31,50,,5,,
Redcar and Cleveland,14,41,3,7,3,
Richmond upon Thames,32,30,1,5,,
Rochdale,15,69,2,8,2,
Rotherham,20,90,11,23,,
Rutland,8,16,,1,,
Salford,18,76,4,23,2,2
Sandwell,24,74,7,17,1,2
Sefton,16,80,3,11,1,
Sheffield,31,137,6,30,,2
Shropshire,20,138,5,17,2,1
Slough,18,37,1,3,1,
Solihull,24,44,5,13,,1
Somerset,39,207,17,28,4,3
South Gloucestershire,11,86,4,17,,1
South Tyneside,21,39,,7,,
Southampton,17,49,1,15,1,
Southend-on-Sea,11,43,1,7,1,
Southwark,36,70,2,7,,1
St. Helens,20,41,1,13,1,
Staffordshire,58,345,13,50,5,
Stockport,30,80,4,10,2,
Stockton-on-Tees,17,61,3,4,,
Stoke-on-Trent,15,74,1,21,1,2
Suffolk,46,257,16,50,10,1
Sunderland,18,98,5,10,2,
Surrey,126,294,7,24,5,
Sutton,24,45,4,1,1,
Swindon,8,58,7,18,1,1
Tameside,11,86,2,12,3,
Telford and Wrekin,16,49,1,15,,
Thurrock,9,40,1,6,2,
Torbay,6,33,,7,,
Tower Hamlets,39,71,2,6,,
Trafford,39,53,2,5,1,
Wakefield,25,108,3,28,,
Walsall,26,76,5,22,2,
Waltham Forest,18,64,,4,1,2
Wandsworth,38,54,3,7,,
Warrington,23,65,1,4,,
Warwickshire,43,182,8,32,2,
West Berkshire,12,68,1,8,,1
West Sussex,35,227,3,41,3,1
Westminster,24,39,1,5,,
Wigan,36,96,3,9,3,
Wiltshire,27,181,12,40,,1
Windsor and Maidenhead,24,45,,6,,
Wirral,30,77,2,21,,
Wokingham,16,43,3,7,1,1
Wolverhampton,20,81,8,17,,1
Worcestershire,43,188,15,23,7,1
York,16,47,4,5,,1
